correct_tick;navigate_1_153_sent;navigate_1_153_received;navigate_1_153_mssg_json;navigate_2_154_sent;navigate_2_154_received;navigate_2_154_mssg_json;navigate_3_155_sent;navigate_3_155_received;navigate_3_155_mssg_json;navigate_4_156_sent;navigate_4_156_received;navigate_4_156_mssg_json;navigate_5_157_sent;navigate_5_157_received;navigate_5_157_mssg_json;human_158_sent;human_158_received;human_158_mssg_json;human2_159_sent;human2_159_received;human2_159_mssg_json;world_nr;tick_nr
-1;;;;;;;;;;;;;;;;;;;;;;2;0
0;;;;;;;;;;;;;;;;;;;;;;2;1
1;;;;;;;;;;;;;;;;;;;;;;2;2
2;;;;;Hello, my name is (human agent) human and I sent this message at tick 2;;;;;;;;;;;Hello, my name is (human agent) human and I sent this message at tick 2;;"{""content"": ""Hello, my name is (human agent) human and I sent this message at tick 2"", ""from_id"": ""human_158"", ""to_id"": ""navigate_2_154"", ""message_id"": ""bb6b67bd34ee8a62d831b7c9cd26119"", ""chat_mssg_count"": 0}";;;;2;3
3;;;;;;;;;;;;;;;;;;;;;;2;4
4;;;;;;;;;;;;;;;;;;;;;;2;5
5;;;;;;;;Hello, my name is (human agent) human and I sent this message at tick 5;;;;;;;;Hello, my name is (human agent) human and I sent this message at tick 5;;"{""content"": ""Hello, my name is (human agent) human and I sent this message at tick 5"", ""from_id"": ""human_158"", ""to_id"": ""navigate_3_155"", ""message_id"": ""22132c3682b78ba69524f8c3e7c3c678"", ""chat_mssg_count"": 0}";;;;2;6
6;;;;;;;;;;;;;;;;;;;;;;2;7
7;;;;;;;;;;;;;;;;;;;;;;2;8
8;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 8;;;;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 8;;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 8"", ""from_id"": ""human2_159"", ""to_id"": ""navigate_2_154"", ""message_id"": ""4a31c8648be5f6bc349699c8ad169a46"", ""chat_mssg_count"": 0}";2;9
9;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 9;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 9;;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 9"", ""from_id"": ""human2_159"", ""to_id"": ""navigate_3_155"", ""message_id"": ""121a03045bc70e6129c9f12be3787df6"", ""chat_mssg_count"": 0}";2;10
10;;;;;;;;;;;;;;;;;;;;;;2;11
11;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 11;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 11;;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 11"", ""from_id"": ""human2_159"", ""to_id"": ""navigate_3_155"", ""message_id"": ""41a709228ff9073211bdc03f0e565ddb"", ""chat_mssg_count"": 1}";2;12
12;;;;;;;;;;;;;;;;;;;;;;2;13
13;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 13;;;;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 13;;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 13"", ""from_id"": ""human2_159"", ""to_id"": ""navigate_2_154"", ""message_id"": ""b9ef78b257a209dbf4d8c061b74086a4"", ""chat_mssg_count"": 1}";2;14
14;;;;;;;;;;;;;;;;;;;;;;2;15
15;;;;;;;;;;;;;;;;;;;;;;2;16
16;;;;;;;;;;;;;;;;;;;;;;2;17
17;;;;;;;;;;;;;;;;;;;;;;2;18
18;;;;;;;;;;;;;;;;;;;;;;2;19
19;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 19;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 19;;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 19"", ""from_id"": ""human2_159"", ""to_id"": ""navigate_3_155"", ""message_id"": ""96f44084dcf4c9ff09098c56525e92ea"", ""chat_mssg_count"": 2}";2;20
