correct_tick;navigate_1_sent;navigate_1_received;navigate_1_mssg_json;navigate_2_sent;navigate_2_received;navigate_2_mssg_json;navigate_3_sent;navigate_3_received;navigate_3_mssg_json;navigate_4_sent;navigate_4_received;navigate_4_mssg_json;navigate_5_sent;navigate_5_received;navigate_5_mssg_json;human_sent;human_received;human_mssg_json;human2_sent;human2_received;human2_mssg_json;world_nr;tick_nr
-1;;;;;;;;;;;;;;;;;;;;;;1;0
0;;;;;;;;;;;;;;;;;;;;;;1;1
1;;;;;;;;;;;;;;;;;;;;;;1;2
2;;;;;Hello, my name is (human agent) human and I sent this message at tick 2;;;;;;;;;;;Hello, my name is (human agent) human and I sent this message at tick 2;;"{""content"": ""Hello, my name is (human agent) human and I sent this message at tick 2"", ""from_id"": ""human"", ""to_id"": ""navigate_2"", ""message_id"": ""725416a420042eb3e2594485c40b5478"", ""chat_mssg_count"": 0}";;;;1;3
3;;;;;;;;;;;;;;;;;;;;;;1;4
4;;;;;;;;;;;;;;;;;;;;;;1;5
5;;;;;;;;Hello, my name is (human agent) human and I sent this message at tick 5;;;;;;;;Hello, my name is (human agent) human and I sent this message at tick 5;;"{""content"": ""Hello, my name is (human agent) human and I sent this message at tick 5"", ""from_id"": ""human"", ""to_id"": ""navigate_3"", ""message_id"": ""34214755a753195a2d5b370056ab28bb"", ""chat_mssg_count"": 0}";;;;1;6
6;;;;;;;;;;;;;;;;;;;;;;1;7
7;;;;;;;;;;;;;;;;;;;;;;1;8
8;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 8;;;;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 8;;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 8"", ""from_id"": ""human2"", ""to_id"": ""navigate_2"", ""message_id"": ""250b0c3a1aab279a90ba05540008e628"", ""chat_mssg_count"": 0}";1;9
9;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 9;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 9;;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 9"", ""from_id"": ""human2"", ""to_id"": ""navigate_3"", ""message_id"": ""9e8a1e8aeba2ad7fb2b2008f19e7db05"", ""chat_mssg_count"": 0}";1;10
10;;;;;;;;;;;;;;;;;;;;;;1;11
11;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 11;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 11;;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 11"", ""from_id"": ""human2"", ""to_id"": ""navigate_3"", ""message_id"": ""416063d8dec736dbe5f38e6e78bf6172"", ""chat_mssg_count"": 1}";1;12
12;;;;;;;;;;;;;;;;;;;;;;1;13
13;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 13;;;;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 13;;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 13"", ""from_id"": ""human2"", ""to_id"": ""navigate_2"", ""message_id"": ""1c56e5f2a3f336603b4f82674a10bdce"", ""chat_mssg_count"": 1}";1;14
14;;;;;;;;;;;;;;;;;;;;;;1;15
15;;;;;;;;;;;;;;;;;;;;;;1;16
16;;;;;;;;;;;;;;;;;;;;;;1;17
17;;;;;;;;;;;;;;;;;;;;;;1;18
18;;;;;;;;;;;;;;;;;;;;;;1;19
19;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 19;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 19;;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 19"", ""from_id"": ""human2"", ""to_id"": ""navigate_3"", ""message_id"": ""3e1a1ce3990afc0be4dd69577ebd6c52"", ""chat_mssg_count"": 2}";1;20
20;;;;;;;;;;;Hello, my name is (human agent) human and I sent this message at tick 20;;;;;Hello, my name is (human agent) human and I sent this message at tick 20;;"{""content"": ""Hello, my name is (human agent) human and I sent this message at tick 20"", ""from_id"": ""human"", ""to_id"": ""navigate_4"", ""message_id"": ""8f8407902974a745181870258f77116"", ""chat_mssg_count"": 0}";;;;1;21
21;;;;;;;;;;;;;;;;;;;;;;1;22
