correct_tick;navigate_1_sent;navigate_1_received;navigate_1_mssg_json;navigate_2_sent;navigate_2_received;navigate_2_mssg_json;navigate_3_sent;navigate_3_received;navigate_3_mssg_json;navigate_4_sent;navigate_4_received;navigate_4_mssg_json;navigate_5_sent;navigate_5_received;navigate_5_mssg_json;human_sent;human_received;human_mssg_json;human2_sent;human2_received;human2_mssg_json;world_nr;tick_nr
-1;;;;;;;;;;;;;;;;;;;;;;1;0
0;;;;;;;;;;;;;;;;;;;;;;1;1
1;;;;;;;;;;;;;;;;;;;;;;1;2
2;;;;;Hello, my name is (human agent) human and I sent this message at tick 2;;;;;;;;;;;Hello, my name is (human agent) human and I sent this message at tick 2;;"{""content"": ""Hello, my name is (human agent) human and I sent this message at tick 2"", ""from_id"": ""human"", ""to_id"": ""navigate_2"", ""message_id"": ""44e014d640fea4dddf6db696f398fad1"", ""chat_mssg_count"": 0}";;;;1;3
3;;;;;;;;;;;;;;;;;;;;;;1;4
4;;;;;;;;;;;;;;;;;;;;;;1;5
5;;;;;;;;Hello, my name is (human agent) human and I sent this message at tick 5;;;;;;;;Hello, my name is (human agent) human and I sent this message at tick 5;;"{""content"": ""Hello, my name is (human agent) human and I sent this message at tick 5"", ""from_id"": ""human"", ""to_id"": ""navigate_3"", ""message_id"": ""b047614292a43b2fc5530dc703527451"", ""chat_mssg_count"": 0}";;;;1;6
6;;;;;;;;;;;;;;;;;;;;;;1;7
7;;;;;;;;;;;;;;;;;;;;;;1;8
8;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 8;;;;;;;;;;;;;;Hello, my name is (human agent) human2 and I sent this message at tick 8;;"{""content"": ""Hello, my name is (human agent) human2 and I sent this message at tick 8"", ""from_id"": ""human2"", ""to_id"": ""navigate_2"", ""message_id"": ""f146818c64fcd08a57c6dbff6692b4ef"", ""chat_mssg_count"": 0}";1;9
